	一些前言	\nPS1：请于【】处添加角色与画风的tag描述；若无，请直接添加于tag组前\nPS2：请注意，本法典早期大部分tag以Nai3模型为基础测试整理，目前已转为Nai4.5测试。理论Nai系列与其他AI模型如Noob等模型通用。（其他模型应用请自行转换权重）\nPS3：标有字底颜色为此次更新增添的tag，字号较小的为附注内容\nPS4：若分类中的tag寻找不到，请活用WPS或其他软件自带的CTRL+F快捷键进行快速检索\nPS5：本法典一般于每月下旬或特殊日期（生日、节日等）更新，且保持月更，可据此判断本所长法典是否为最新版本。\nPS6：本法典为无偿免费分享，由一般所长整理编纂，tag多来源于解构原典群与其他群群友，在此对tag提供者提出感谢。\nPS7:若对法典收集tag存在疑问或者错误反馈，可以通过QQ：2319231932或2213681558（小号）联系一般所长，添加好友时请备注缘由。\nPS8：此外，于此特别感谢御堂/神宫寺、KKO、泡面、七号、别里磕夫这几位群友在Tag整理上的协助支持，帮我解决了很多费时费力的基础工作，再次感谢\nPS9：当各位看到这一条的时候，证明所长法典今日（2025.12.29）已经两岁啦！再次感谢在编辑法典中提供助力的各位，提供Tag的各位，以及谋面或者素未谋面的使用这本法典的各位！希望我们还能在法典三岁见面！
泳装	金色比基尼	\n1girl,smile,gold bikini,micro bikini,front-tie bikini top,side-tie bikini bottom,1.1::double strap slip,bikini pull::,
泳装	金色比基尼外套【金色比基尼：golden highcut bikini】	\ngold skirt,gold bikini,necklace,untied ribbon,white shirt,visor cap,translucence,criss-cross halter,gold boots,sideboob,volumetric lights,
泳装	色情猫猫泳装	\nfake cat ears,fake cat tail,nude,micro bikini,paw gloves,white socks,white bikini,cameltoe,large areola,areola slip,nipples,navel,off shoulder,sweat,
泳装	猫猫破损泳装	\ncat costume,torn swimsuit,frilled legwear,hairclip,hairband,
泳装	弹弓泳装	\nadjusting eyewear,blue-tinted eyewear,blue choker,blue nails,blue ribbon,blue slingshot swimsuit,bracelet,hair ribbon,heart-shaped eyewear,looking at viewer,looking over eyewear,sunglasses,thigh strap,
泳装	白斗篷比基尼裙（可做魔法少女装扮）	\n{{white side-tie bikini,side-tie panties,white cloth cape,large cape,white pleated skirt,miniskirt,hypotenuse skirt,id card,white bridal gloves}},
泳装	夏日泳装双子	\n6::from front,facing views,full body::,-6::multiple views,covered eyes::,3::2girls::,beach,\nchar1：barefoot,pearl thong,bikini,choker,cropped jacket,visor cap,torn short shorts,swimming ring,standing,\nchar2：barefoot,off shoulder,open jacket,thigh strap,white one-piece swimsuit,blue jacket,white ribbon,long sleeves,see-through,hairclip,standing,
内衣	植物绿色蕾丝内衣展示	\n1girl,sidelightting,pose,sunlight,shade,green light,shade on face,flower,large eyes,outdoors,third-party source,highres,nsfw,cameltoe,no linearts,thighhighs,light,white outlines,leaf,vines,vines on body,1.3::excessive vines around girl::,sweat,1.6::micro bra,micro panties::,dynamic pose,large breasts,wind,parted lips,light green lace bra,white green lace panties,flower print,navel,blush,dutch angle,pose,1.1::cleavage::,
内衣	乳头阴蒂穿环链接	\n1.5::clitoris ring,nipple rings,clitoris chain,clitoris piercing,linked piercing,nipple chain,nipple piercing,pussy piercing,shackle piercing,o-ring::,curvy,large areola,puffy nipples,
内衣	连体黑丝裸体围裙	\n1girl,solo,blush,serious face,embarrassed face,wavy mouth,blush,no panties,white naked apron,black bodystocking,half-closed eyes,convenient censoring,cowboy shot,cooking,kitchen,floating hair,
内衣	镂空比基尼奶牛装	\ncow ears,cow horns,red choker,gold bell collar,cow print,3::string slingshot cupless white micro bikini,white cupless strap slingshot swimsuit::,cow print elbow gloves,cow tail,cow print thighhighs,
内衣	肌肉内衣	\n1girl,sexy,skinny,athletic,fit,slim,abs,lace lingerie,white lingerie,white stockings,silk stockings,garters,garter belt,military blazer over shoulders,glass of whiskey in hand,relaxed pose,leans back,arrogance smile,closed mouth,detailed environment,erotic conception fusion with military aspects,grunge theme in dramatic exposition,dark lighting emphasize sexuality of female body,dark tones with high contrast colors,sits on the sofa,knee up,sexy legs,foot,spread legs,
内衣	印花蕾丝连体黑丝	\nstocking,black pantyhose,thighband pantyhose,panties under pantyhose,breast cutout,sleeveless,black elbow gloves,detached collar,see-through clothes,impossible clothes,see-through pantyhose,see-through bodystocking,skindentation,no panties,covered nipples,cameltoe,
内衣	原版杂项	\nindoors,night,hotel room,luxury hotel,soft lighting,ambient light,dimly lit,large window,night cityscape outside,steam,hot,blurry background,solo,1girl,bodystocking,naked bodystocking,black bodystocking,lace bodycowboy shot,bare shoulders,curvy,large breasts,cleavage,large areola,narrow waist,thick thighs,pubic hair,looking at viewer,standing,seductive smile,half-closed eyes,2::contrapposto::,full-face blush,steaming body,heavy breathing,sweat,
内衣	连体黑丝中式婚纱	\n1girl,solo,western fantasy,human,nude,bodystocking,black stockings,no shoes,dark,night,kneeling,legs wide open,nsfw,1girl,intricate phoenix crown with dangling pearls,mandarin collar with gold embroidery,xiuhe jacket in vibrant red silk,dragon-phoenix motif embroidery,wide flowing sleeves with cloud patterns,xiapei bridal cape with jade pendants,skirt layered with auspicious symbols,delicate closures along front closure,embroidered waist sash with tassels,phoenix-tail hemline detailing,embroidered silk shoes with lotus motifs,jade bangle bracelets,red veil with golden thread edging,traditional chinese bridal makeup,rose-gold hairpins with sliver beads,cloud-shaped earrings,half open eyes,2.0::side view,1.6::red sheer lightweight lace veil::,red gilded patterns adorn the veil,close-up shot,
内衣	白色渔网内衣	\n{{white theme}} floral print,1girl,reverse outfit,{white pantyhose,crotchless pantyhose} {fishnets,fishnet bodysuit,{{{white fishnets}}}},sweat,blush,white background,navel,bare shoulders,closed mouth,bridal gauntlets,covered navel,white gloves,standing,revealing clothes,shiny,contrapposto,detached sleeves,arms at sides,skin tight,elbow gloves,see-through gloves,see-through pantyhose,sheer pantyhose,
内衣	白色蕾丝粉红系带内衣	\n{{{translucent white lace lingerie}}},{{pink silk ribbons tied on limbs}},ribbons as bondage,{{no bra}},nipples visible through lace,{{{lifting ruffled lace skirt}}},showing pink silk panties with a bow,{{white lace garter belt}},sheer white stockings,flushed face,messy hair with bows,{{{{nsfw}}}},detailed vulva,soft skin texture,cinematic soft pink lighting,
内衣	马娘皮革内衣	\n1girl,solo,leather,anal tail faketail,walking,outfit,bare shoulders,corset,detached sleeves,1.2:: thigh boots,thighhighs,garter straps,hoof shoes,hoof gloves,lace-up elbow gloves,lace-up heels,heel-less heels,hooves::long legs,large ass,1.1::bondage,bdsm,metal collar,bit gag,gag harness,open mouth,reins,wrist cuffs,shackles,chain,tied to fence::,from side,face to the viewer,standing,bent over,heavy breathing,trembling,sweat,saliva,tears,blush,latex leotard,garter belt,location,outdoors,tall wooden fence,
内衣	骨爪胸罩	\n{{{breast claw}}},bone bra,
内衣	穿环束带内衣	\nlace collar,perky breasts,breast strap,strap between breasts,nipple chain,nipple piercing,clitoris piercing,clitoris chain,thigh strap,
内衣	奶牛内衣	\nstraight-on,navel focus,steam,hot,blurry edges,cow print bikini,cow ear hairband,frilled hairband,print thighhighs,bridal gauntlets,micro bikini,neck bell,black-framed eyewear,impossible clothes,revealing clothes,plump,cleavage,underboob,sideboob,navel,groin,thick thighs,skindentation,partially visible vulva,covered pussy,
内衣	原版杂项	\nsitting,2::lotus position::,on ground,hand on own mouth,looking to the side,tongue out,smile,head tilt,spoken heart,blush,steaming body,heavy breathing,heart,very sweat,
内衣	连体网袜婊子	\n{{transparent fishnet bodysuit}},{{crotchless design}},{{chest cutouts}},{{breasts fully exposed through openings}},{{b-cup breasts}},{{pink nipples exposed}},{{pussy completely visible}},{{collar with text “stupid dog”}},red dyed tips,{{extreme heavy makeup}},{{thick dramatic black eyeliner}},{{long false eyelashes}},{{gold glitter eyeshadow}},{{metallic purple lipstick with highlight}},
内衣	紫色内衣	\nbelt collar,cleavage,collarbone,frilled choker,groin,hair bow,navel,pink lips,pink nails,purple bow,purple bra,purple choker,purple panties,purple thighhighs,spiked ear piercing,striped thighhighs,thigh strap,
内衣	色情绑带内衣	\nbelt bra,black bow,black panties,bow,chest strap,detached collar,detached sleeves,embarrassed,frilled collar,frilled panties,frilled sleeves,frilled thigh strap,frills,heart hair ornament,lolita fashion,navel,panties,revealing clothes,stomach,thigh strap,floating headgear,cleavage,crossed arms,breasts out,
内衣	吸血鬼少女色情内衣	\nneck ribbon,black cloak,ascot,cleavage,black cloak,ascot,cleavage,fangs,black nails,sharp fingernails,long fingernails,black panties,black shirt,long sleeves,navel,wide sleeves,black thigh boots,black clothes,red clothes,
内衣	小恶魔内衣	\nbackstage,dressing room,bright lighting,mirror,idol posters,demon girl,bat wing,bat bandeau,revealing clothes,oil skin,shiny skin,
内衣	兽装条纹内衣	\namaha masane (witchblade) (cosplay),revealing clothes,crotch plate,underboob,navel,thighs,claws,pale skin,
内衣	高腰腹部开口交叉束带紧身内衣	\nwet clothes,organza lace,leotard,organza lace bodysuit,cross-laced,plunging neckline,cleavage,navel,cameltoe,between thighs,leg loop,neck ribbon,detached sleeves,fine fabric emphasis,white gloves,feather,nipple,pantyhose,blush,collarbone,open coat,
内衣	裁剪露点内衣	\nelbow gloves,white gloves,white thighhighs,cupless bra,bow panties,crotchless panties,white panties,maid headdress,frilled bra,white bra,pink ribbon,hairband,frilled choker,bare shoulders,frilled panties,lingerie,choker,
内衣	玫瑰印花连体袜	\n{{bodystocking}},{rose print},{{{{{black blindfold}}}}},nude,
内衣	印花连体袜	\n{{nipple bells}},nipple piercing,{{flesh colored bodystocking}},transparent pantyhose,flesh colored pantyhose,transparent light brown pantyhose,floral print pantyhose,
内衣	毛茸茸猫娘内衣	\nfelicia (darkstalkers) (cosplay),upper body,close-up,squatting,arm support,licking hand,leaning forward,bend,legs apart,spread legs,naked fur,white fur,navel,paw gloves,claws,tongue out,pale skin,expressionless,
内衣	色情金饰比基尼内衣	\n{gold anklet},{leg ring},{groin},{navel},{high sandals},{bikini},{pussy curtain},{mouth veil},{gloves},{plump},{oiled skin},{shiny skin},{covered nipple},{large areola},
内衣	创可贴内衣	\nbandaid on pussy,blue bandaid,topless,bandaid,areola slip,bandaids on nipples,bow thighhighs,lace legwear,loose belt,halter top,bridal garter,frills,covered nipples,
内衣	绷带金色比基尼内衣	\nbandage over eyes,bent over,hands on own thighs,{{gold chain}},{gold bikini},micro bikini,jewelry,blush,white veil,{{bandages}},bandaged arm,bandaged leg,huge cross,deep skin,shiny skin,oiled,sweat,
内衣	蝙蝠抹胸色情内衣	\nthong,bat wing,bat bandeau,revealing clothes,sandals,high heels,
内衣	色情开口内衣（含有胸部下垂警告）	\nrevealing clothes,cutout bra,sagging breasts,hanging breasts,crotchless panties,corset,choker,thighhighs,nipples,elbow gloves,no shoes,
内衣	仅穿着内衣姿态优化组件	\nskindentation,cowboy shot,bare shoulders,underwear only,collarbone,cleavage,bare arms,ass visible through thighs,
内衣	色情猫猫内衣（白）	\ncat lingerie,paw pose,cat cutout,clothing cutout,neck bell,white bra,jingle bell,white panties,cat ear panties,side-tie panties,frilled bra,white choker,white flower,wrist cuffs,cat ear thighhighs,white thighthighs,
内衣	另一版	\nwhite lingerie,cat lingerie,{{cat cutout}},cleavage,cat panties,white thighhighs,{{cat print}},fake ears,white cat ears,white choker,neck bell,white tail,cat tail,{{{{tail bow,tail bell}}}},
内衣	色情猫猫内衣（黑）【推荐附带表情：full-face blush,@_@,】	\ncat pose,black frilled lingerie,black cat ear panties,side-tie panties,cat cutout,paw print soles,animal collar,jingle bell,black thighhighs,\n(注：cat pose 更像爪子，paw pose更像招财猫肉球状，另外猫抓手套是paw gloves,)
内衣	双人猫娘内衣	\n2girls,{looking at viewer,nose blush,open mouth,smile,{{wariza,paw pose,symmetrical docking}},fake animal ears,fake tail,black cat lingerie,white cat lingerie,cat cutout,cleavage,cat print,black elbow gloves,white elbow gloves,black cat panties,white cat panties,black thighhighs,white thighhighs,choker,neck bell,indoors,bedroom,on bed,cowboy shot,
内衣	乳贴蕾丝内裤	\n{shrug (clothing)},no bra,long sleeves,cross pasties,naked belt,highleg panties,black thighhighs,used condom garter belt,
内衣	连体黑丝内衣	\nchoker,{{{naked black bodystocking}}},{{white panies,lace panies}},white gloves,no bra,see-through,covered nipples,
内衣	蓝白配色内衣	\n{{highleg leotard,see-through leotard}},navel,looking at viewer,stomach,side-tie panties,bare shoulders,aqua ribbon,collarbone,armpits,blush,shiny,bare arms,holding hair,blue choker,cowboy shot,see-through,shiny skin,white panties,lingerie,dutch angle,frilled bra,
内衣	豹纹内衣（黑皮金发婊子）	\nfellatio gesture,【leopard print,micro bikini,string bikini,black fishnet thighhighs,garter belt,choker】（服装）,【tongue piercing,navel piercing,dark skin,yellow hair,blue eyeshadow,blue lips】（配饰+妆容）,
内衣	搭配的表情与体型	\ncurvy,areola slip,tongue out,mole above mouth,ass visible through thighs,armpits,
内衣	珠串内衣	\nwhite bra,necklace,white garter belt,white garter straps,{pearl panties,visible labia},white thighhighs,cleavage,jewelry,
内衣	纯白内衣	\ngarter belt,white panties,white thighhighs,white bra,white gloves,lolita hairband,halterneck,criss-cross halter,veil,cameltoe,ass visible through thighs,finger to mouth,heart-shaped pupils,
内衣	薄纱内衣	\nshiny skin,nsfw,see-through underwear,lace underwear,
内衣	蓝色内衣【一点适合搭配的动作looking away,looking to the side,butterfly,】	\ngarter belt,black hairband,bra,hair flower,white flower,choker lingerie,blue thighhighs,earrings,
内衣	创可贴内衣	\nbandaid,bandaid on pussy,covered nipples,nude,
内衣	海星内衣	\nstarfish on breasts,navel,starfish pasties,starfish on pussy,convenient censoring,
内衣	宝石金链内衣	\n{{{{jewelry}}}},{{{{{gem chain}}}}},{{{jewelry on nipples}}},nipple chain,waist chain,naked suspendernavel,sideboob,groin,navel piercing,{venus bikini},{{slingshot swimsuit}},
内衣	微调后	\nbead necklace,{{jewelry}},{{{gem chain}}},{jewelry on nipples},nipple chain,waist chain,naked suspendernavel,sideboob,groin,{venus bikini},{{slingshot swimsuit}},
内衣	宝石穿环内衣	\n[topless],[micro gem bra],nipples cutout,[gem maebari],chest jewelry,nipple chain,belly chain,[[[gem g-string]]],cleavage,nipple piercing,pussy piercing,clitoris piercing,pussy,labia,spread pussy,ring on labia,
内衣	金饰	\nnaked,nsfw,{{{{jewelry}}}},{{body chain}},earrings,
内衣	束腰内衣	\n{bridal lingerie},{veil},blush,elbow gloves,mature female,white thighhighs,frills,navel,hat ribbon,mob cap,garter straps,corset,cleavage,highleg,curvy,cross-laced clothes,frilled choker,white choker,white gloves,
内衣	纹身束腰分离袖子长筒靴	\n{dragon tattoo,body tattoo,face tattoo},partially undressed,oily skin,{{{covered nipples,cross pasties}}},corset,choker,detached sleeves,thigh boots,pendant earrings,high heels,
内衣	色情锁链网袜内衣	\nstrappy lingerie,fishnet stockings,lacechoker,thighhighs,garter belt,sheerrobe,open bust corset,high heels,nipple covers,side slit skirt,backless,crotchless panties,harness straps,leather cuffs,body chain,red lipstick,smokey eyeshadow,cleavage,satin gloves,ankle strap heels,see-through fabric,sideboob,underboob,waist cincher,keyhole cutout,
内衣	华丽金饰内衣（fgo伊什塔尔cos）	\n{envelope},barefoot,{hair bow,red bow},{toeless legwear,black thighhighs,single thighhigh,asymmetrical legwear},{detached collar,single detached sleeve,asymmetrical sleeves},{{black bikini,white bikini,mismatched bikini}},{strapless leotard},{necklace,tiara,gold trim,armlet,anklet,neck ring,{hoop earrings},
内衣	形似弹弓泳衣的色情内衣	\nnaked suspender,navel,center opening,wedgie,white capelet,{{see-through}},lace trim,
内衣	印花蕾丝版本	\n{{pearl bra}},{{white leotard,see-through leotard}},{highleg leotard,rose print bodysuit},bare shoulders,center open,
内衣	胶质紧身胸衣	\nbustier,thigh strap,cross-laced clothes,{thong},navel,latex gloves,shiny,latex,latex boots,garter straps,navel piercing,
内衣	高腰紧身衣内衣	\nnude,necklace,cleavage,garter straps,white thighhighs,bare shoulders,hair ribbon,hair bow,collarbone,frilled leotard,
内衣	薄纱围绕	\nnaked poncho,{{{see-through silhouette}}},
内衣	衬衫长裤下色情内衣	\n1girl,seductive smile,white shirt,unbuttoned,shirt lift,black lace see-through bodysuit,high-leg teddy,deep v-neck,intricate floral lace pattern,cleavage cutout,underboob,sideboob,bare midriff,crotchless,loose white high-waist wide-leg pants,pants pulled low on hips,pants hanging,black high heels,golden dangling earrings,black choker with gold ring,standing,confident expression,gray background,cowboy shot,
内衣	原版	\n1girl,seductive smile,wearing open white dress shirt,unbuttoned,shirt lift,black lace see-through bodysuit,high-leg teddy,deep v-neck,intricate floral lace pattern,cleavage cutout,underboob,sideboob,bare midriff,crotchless design implied,loose white high-waist wide-leg pants pulled low on hips,pants barely hanging,black high heels,golden dangling earrings,black choker with gold ring,standing,hands lifting shirt,teasing,confident expression,simple gray background,cowboy shot,
内衣	外套牛仔裤下黑色内衣	\n1girl,solo,collarbone,purple hair clip,brown jacket,smile,closed mouth,looking at viewer,white thighhighs,navel,glasses,denim,looking at viewer,choker,jeans,black panties,stomach,black bra,long sleeves,ring,cowboy shot,cleavage,open fly,open jacket,standing,see-through,closed mouth,blush,piercing,indoors,blue pants,
内衣	和服下蕾丝内衣	\ngreen background,gold background,yellow cherry blossom print background,rounded corners,character name,halftone,drop shadow,halftone shadow,colored shadow,solo,girl,japanese clothes,floral print kimono,green kimono,furisode,wide sleeves,yellow floral print,flower knot,frilled choker,white choker,open clothes,open kimono,white lace gloves,tassel hair ornament,hand fan,single hair bun,yellow lace trim,lingerie,white lace-trimmed bra,white lace-trimmed panties,pom pom (clothes),pom pom on bra,floral print bra,floral print panties,impossible underwear,revealing clothes,revealing panties,cowboy shot,collarbone,off shoulder,cleavage,curvy,stomach,navel,groin,narrow waist,ass visible through thighs,arm up,holding fan,looking at viewer,light smile,half-closed eyes,blush,contrapposto,2::the girl raised one arm and opened a translucent folding fan to cover half of her face,revealing a gentle smile::,
睡衣	透明系带睡衣	\n1.4::numerous ribbons::,1.3::floating ribbons::,white ribbons,translucent ribbons,straps,criss-cross straps,body harness,ribbon trim,lace-up,transparent clothes,clear plastic clothes,pvc outfit,see-through,holographic white,wet look,no bra,lace-up,front tie,criss-cross lacing,intricate cutout,clear plastic jacket,off shoulder,puffy sleeves,frills,ruffles,transparent headwear,frilled bonnet,white theme,futuristic fashion,experimental style,
睡衣	原版	\n1girl,solo,birdcage,golden bars,blurred foreground,kneeling,leaning forward,profile,side view,from above,looking at viewer,arms above head,hands tied,wrists tied by white ribbon,dreamy eyes,half-closed eyes,parted lips,white theme,futuristic fashion,experimental style,numerous ribbons,floating ribbons,translucent ribbons,ribbon trim,clear plastic jacket,pvc outfit,see-through,holographic,wet look,off shoulder,puffy sleeves,frills,ruffles,intricate cutout,lace-up,front tie,criss-cross straps,body harness,frilled bonnet,transparent headwear,no bra,blue sky,tree branch,sunlight,slanting sunlight,ray of light,cinematic lighting,light and shadow,
睡衣	闪铂色情睡裙	\nheavy makeup,purple makeup,purple eyeshadow,purple lips,upper body,cleavage,thigh,ass,white skin,close-up,{{2.0::blow colored fog to viewer::,lips apart,3.0::half-closed eyes::,empty eyes,expressionless,looking up}},{{{{{{1.6::colorful latex clothes,shiny clothes,iridescent transparent tulle robe::}}}}}},off-shoulder,full body white fishnet stockings,{{{shiny white fur,iridescent fishnet tights,iridescent bridal gloves,iridescent wedding dress}}},skindentation,silver heart,silver navel,{{{silver earrings}}}),location,{{{{{night,out door,see-through sofa bed,purple backlight,colorful aurora background,see-through curtains(foreground),behind curtain,floating curtains}}}}},lying down,cuvry,
睡衣	紫色短上衣+短裤睡衣	\nsideboob,cleavage,covered nipples,collarbone,forehead jewel,crop top,ruffled lingerie,purple lingerie,purple bloomers,midriff,navel,bow bloomers,red bow,
睡衣	白色透明纱裙纱裤	\nfrilled trims,messy hairs,{{see-through pants,loose pants,see-through clothings,see-through dress}},blush,oversized clothings,white clothes,
睡衣	色情半透明睡衣连体裙	\n{black transparent yarn nightgown,garter belt},
睡衣	复杂款	\nblush,on bed,own hands together,nightgown,collarbone,navel,black thighhighs,{{wariza}},pillow,underwear only,black choker,garter belt,see-through,ring,grey panties,grey bra,bed sheet,
睡衣	透明无袖睡裙	\nwhite nightgown,see-through nightgown,bare shoulder,sleeveless,bare arms,frilled dress,dress lifted,
