	一些前言	\nPS1：请于【】处添加角色与画风的tag描述；若无，请直接添加于tag组前\nPS2：请注意，本法典早期大部分tag以Nai3模型为基础测试整理，目前已转为Nai4.5测试。理论Nai系列与其他AI模型如Noob等模型通用。（其他模型应用请自行转换权重）\nPS3：标有字底颜色为此次更新增添的tag，字号较小的为附注内容\nPS4：若分类中的tag寻找不到，请活用WPS或其他软件自带的CTRL+F快捷键进行快速检索\nPS5：本法典一般于每月下旬或特殊日期（生日、节日等）更新，且保持月更，可据此判断本所长法典是否为最新版本。\nPS6：本法典为无偿免费分享，由一般所长整理编纂，tag多来源于解构原典群与其他群群友，在此对tag提供者提出感谢。\nPS7:若对法典收集tag存在疑问或者错误反馈，可以通过QQ：2319231932或2213681558（小号）联系一般所长，添加好友时请备注缘由。\nPS8：此外，于此特别感谢御堂/神宫寺、KKO、泡面、七号、别里磕夫这几位群友在tag整理上的协助支持，帮我解决了很多费时费力的基础工作，再次感谢\nPS9：当各位看到这一条的时候，证明所长法典今日（2025.12.29）已经两岁啦！再次感谢在编辑法典中提供助力的各位，提供Tag的各位，以及谋面或者素未谋面的使用这本法典的各位！希望我们还能在法典三岁见面！
各种风格	彩铅画风（请勿与画师同用）	\nfaux traditional media,crayon (medium)::,crayon lines,
各种风格	蓝色单色草图	\ngraphic painting,5::blue theme,blue background::,3::1 girl,solo,5::messy draft::,5::draft::,5::sketch::,5::messy lines,lineart::,
各种风格	蓝红双色草稿风格	\nmessy sketch,pen sketch,scribble art,crosshatching,abstract lineart,chaotic lines,asymmetrical composition,blue ink,0.4::pink ink::,sketchbook style,minimalist background,hand-drawn texture,unfinished look,raw sketch aesthetic,pink theme,white theme,blue theme,dim light,
各种风格	色块像素（请勿添加额外画风）	\n2.0::no line art,flat,vague::,no face,no eyes,no mouth,2d,no lines,flat color,pixel art,::,haku89,hamsterfragment,spoiledmuffin,itzah,momiahair,solo focus,year 2024,
各种风格	孤独摇滚番剧画风	\n1girl,solo,1.2::official style,bocchi the rock::,anime screencap,anime coloring,anime drawings,year 2022,close up,
各种风格	扁脸q版（坨坨脸）	\n1.5::artist:diyap::,game:trickcal,2::chibi::,
各种风格	彩色线条（看画风，不稳定）	\nlineart,gradient line,light blue line,light purple line,light pink line,light yellow line,white background,
各种风格	碧蓝档案风格	\n4::blue archive game cg::,yutokamizu,1::mx2j::,doremi (doremi4704),\nblack soul风格\nartist:sushi yuusha toro,
各种风格	终末地3d画风	\nukai saki,mx2j,2.5::game cg,arknights: endfield::,2.5::girls’ frontline 2: exilium,official art::,1.5::blender (medium),detailed skin,game screenshot,photorealistic,photo (medium)::,-2::realistic::,-5::outline::,1::cel shading::,year 2025,
各种风格	平涂草稿风格	\n1.5::pastel theme,watercolor (medium),oil painting (medium),acrylic paint (medium),clean lineart,flat color::,
各种风格	黑白漫画风格	\n2::high contrast,greyscale,jaggy lines,halftone shadow::,
各种风格	复古漫画风格（需去除其他画师串）	\n0.6::artist:clamp_(circle),0.3::artist:yoneyama_mai,2.0::artist:flieger,0.3::artist:oogure_ito::1.3::artist:yuuki_nobuteru::.year 2025,::,:manga cover,1.2::cowboy shot,illustration,traditional media::-4::artist collaboration::,1girl,real world location,
各种风格	魔裁主美	\numemaro (siona0908),year 2024,year 2025,
各种风格	柚子社表情包画风	\nakaneya,chibi only,year 2024,year 2025,1girl,
各种风格	表情包画风	\n2::1girl,solo,chibi only,chibi::,0.7::zhibuji_loom,fuyukawa_kagari::,futaba969649,{chibi},sketch,
各种风格	渐灰漫画风格（需去除其他画师串）	\n1.51::artist:pyon-kichi::,1.49::artist:lack::,2.33::artist:chomoran::,3::artist:healthyman::,0.75::artist:lam (ramdayo)::,2.56::artist:re0n::,1.69::artist:higashide irodori::,3.25::artist:maki keigo::,year 2025,year 2024,1.75::lineart::,1.25::white border::,2.5::muted color::,-1.5::censored,bad anatomy::,0.5::location::,best quality,masterpiece,highres,vivid,no text,-2::upscaled::,-2::multiple views::,-10::artist collaboration::,-3::simple background::,best quality,amazing quality,very aesthetic,absurdres,very aesthetic,masterpiece,no text,-2::upscaled,blurry::,
各种风格	油画涂抹风格（需去除其他画师串）	\nrealistic,1.5::artist:tripdancer::,0.8::artist:au (d elete)::,1.1::artist:96yottea::,2.1::artist:kyezzzz::,realistic,2.3::acrylic paint (medium),Palette knife painting::,cool tone,balanced white lighting,partially colored,-2::knife::,
各种风格	黑白手绘扫图风格（需去除其他画师串）	\n2::artist:nogiwa kaede::,1.6::artist: 3774.::,0.5::artist:yamamoto souichirou::,0.8::artist:muchi maro,::,year 2024,year 2025,-1::artist collaboration::,3::pencil drawing,monochrome::,3::sketch,graphite (medium)::,-1::multiple views::,
各种风格	真实照片背景	\nphoto background,real world location,
各种风格	圣堂彩窗风格	\nmosaic pattern,stained glass,photomosaic,mosaic art,
各种风格	另一版本	\n::stained glass style::,no face,3.0::mosaic pattern,stained glass,photomosaic::,
各种风格	梵高	\nartist:vincent van gogh,artist:gustav klimt,
各种风格	复古油画（对二次元角色无效）	\nclassical oil painting style,cracked varnish effect,
各种风格	喵斯快跑	\nmuse dash,neon palette,artist:remsrar,cogecha,(kankan33333),yoneyama mai,[artist:sho (sho lwlw)],colorful outline,chromatic aberration,rainbow gradient,
各种风格	原版部分内容	\nstar tattoo,facial tattoo,frilled choker,leaning back,nail polish,colored shards,floating hair,finger gun,zoom layer,
各种风格	显像管故障	\nglowing lines,luminous lines,white lines,neon effect,lineart,monochrome,bloom,glitch effect,scanlines,abstract background,dark aesthetic,dramatic lighting,
各种风格	方块像素	\nwitch,witch hat,black robe,holding staff,torch,fire,flame,blocky,autumn,fall leaves,yellow leaves,path,cobblestone,fantasy,mage,wizard,cute,chibi,miniature,warm lighting,sunset,magical,stylized,lowpoly,cubic,
各种风格	黄色黑色平涂风格	\nlicense plate,limited palette,spot color,flat color,monochrome,yellow theme,
各种风格	小玛丽风格	\ncute style,chibi only,stick drawing style,{{{{artist:horuhara}}}},
各种风格	浮世绘风格（请勿添加额外画风）	\nukiyo-e,nihonga,fine art,japonisme,flat color,woodblock print,
各种风格	游戏战斗画面【败北r18差分：defeat,mating press,nude,】	\n2characters,health bar at the top of the screen,fighting,\nchar1：girl,\nchar2：girl,
各种风格	黑白彩色	\ngreyscale with colored background,greyscale with colored eyes,
各种风格	日系蒸汽波风格	\n{{{{{{retrostyle,classical,old style anime,the image is very aesthetic,retro synthwave style.this image has pastel colors.sketch markings,jaggy lines,outrun (style)}}}}}},night,moon,full moon,{purple theme},\nn4像素风二则
各种风格	其一	\n{{{{{{{pixel art,16-bit color palette,color banding,PC-98}}}}}},year 2024,photorealistic}}},
各种风格	其二	\n{{{{jaggy lines,flipnote studio (medium),flipnote}}}},pixelated,sketch lines,spot color,\n3d画风\nukai saki,mx2j,2.75::3d,blender (medium),1.85::realistic,photorealistic,photo (medium)::,bloom light,no lineart,year 2025,glossy skin,highres,volumetric lights,\nmmd3d画风\nmikumikudance (medium),3d,\nmygo3d画风\n{{{anime screenshot}}},{{BanG Dream! It’s MyGO!!!!!}},{{year 2024}},{{{{{{{{{3d}}}}}}}}},\nGBC3d画风\n{girls_band_cry,girls_band_cry screenshot},{{unity3d (medium),3d}},{{game screenshot}},{{official art}},year 2024,
各种风格	恋活3d画风	\n{{{{{koikatsu,koikatsu screenshot}}}}},{unity3d (medium),3d},{zbrush (medium)},{{game screenshot}},
各种风格	少前3d画风	\n{{girls’ frontline 2: exilium,official art}},{{{{{{{{{unity3d (medium),3d}}}}}}}}},{zbrush (medium)},{{{{{{{{{{game screenshot}}}}}}}}}},depth of field,blurry background,\nchannel画风\nartist:channel_(caststation),year 2024,pastel color,
各种风格	日本波普风格（需去除画风应用）	\nupper body composition,anime cel-shaded style,soft blush cheeks,pearl earrings,off-shoulder lace blouse,glowing neon choker,retro crt screen reflections on glasses,vaporwave color scheme,pink-and-teal gradient background,chromatic aberration effect,film grain texture,subtle rgb shift,anime-style rim lighting,translucent skin with subsurface scattering,detailed eyelash rendering,holographic star particles,1980s anime poster aesthetic,soft focus foreground,textured brush strokes,faded denim jacket collar visible,glowing liquid eyeliner,mismatched hair accessories,micro-detailed iris patterns,ambient neon signage glow,synthetic fabric sheen,cinematic depth blur,analog vhs tape artifacts,\n1999风格\n{{artist:yoneyama mai}},{rella},{artist:reoen,xilmo},year 2024,{{{reverse:1999}}},grey theme,depth of field,cinematic lighting,film grain,
各种风格	抽象艺术（仅推荐单与画师串合用）	\n{{{abstract art}}},guernica,picasso,block,splicing,abstraction,cubism,realism,surrealism,clutter,
各种风格	吊带袜天使风格	\n{{panty & stocking with garterbelt,panty & stockingwith garterbelt style}},1girl,white background,chibi,
各种风格	动画画风1	\n{mafuyu (chibi21)},{{rurudo,gusha s,hiro (dismaless),wlop,yoneyama mai,mikami mika}},[[murata range]],
各种风格	动画画风2	\nartist:[ogipote],morikura en,year 2024,anime screencap,\n{official style},anime screencap,anime coloring,anime drawings,year 2025,highres,no text,\nofficial style,anime screencap,anime coloring,anime drawings,
各种风格	加上动画片的名字能得到根原作很像的画风	
各种风格	复古动画风	\n{{menma (enaic31)}},kisumi rei,bluethebone,[artist:sho (sho lwlw)],year 2024,retro artstyle,{{chiaroscuro}},
各种风格	里番风格	\n{{artist:keihh,yamazaki jun,anime coloring}},year 2024,
各种风格	里番动画画风	\nstrike the blood,shiny,anime coloring,
各种风格	漫画风格	\ngreyscale,monochrome,silent comic,linear hatching,
各种风格	水墨风	\n{{{{ink wash painting}}}},lineart,monochrome,
各种风格	暗色	\n{{monochrome,black and white,pencil scratch lines,drawing,graphite(medium),greyscale}}},
各种风格	埃及壁画	\n{{{egyptian mural,in mural}}},lineart,flat color (medium),{{maximalism artstyle,geometric artstyle,junk art}},
各种风格	其他版本	\nfrom side,1girl,2.0::egyptian clothes::,2.0::egyptian mural style::,no face,solo,1girl,3.0::wide shot::,5.0::egyptian mural,egyptian mural style,girl in egyptian mural,hieroglyphic::,hieroglyphic,
各种风格	像素风格	\n{pixel art,perfect pixel,8-bit,dithering},
各种风格	极简主义风格【附带草稿化Tag：{{sketch}}】	\nminimalism,{faceless},(white skin),portrait,{no lineart},simple background,white background,blending,flat color,limited palette,high contrast,
各种风格	像素小房间	\n{{{pixel art}}},carpet,chair,indoors,{{{{isometric}}}},light rays,plant,white background,
各种风格	杂彩乱色风格	\n{{ff gradient}},{{limited palette}},high contrast,inverted colors,colorful,{stunning composition},【[torino aqua],anime,（效果优化组件）】 【后接画风tag，tag切勿指定颜色，需一定程度roll】
各种风格	其他版本1	\nmulticolored,colored lineart,colorful,high contrast,
各种风格	几乎无色纯线条	\n{{{{{{lineart}}}}}},no color,\n2版\n{{lineart,black and white}},\n3版\n{{{black and white,sketching,greyscale}}},
各种风格	黑白线稿或初步上色	\ntraditional media,greyscale,{{artist:endou okito}},artist:wanke,[[artist:ebifurya]],year 1990,
各种风格	其他版本	\ntraditional media,greyscale,{{artist:endou okito}},artist:wanke,[[artist:ebifurya]],[ibenz009],year 1990,\njojo风格\n{{{{{{araki hirohiko(style)}}}}}},{{jojo pose}},{{kujo jotaro’s pose(jojo)}},{{emphasis lines}},
各种风格	柚子社画风	\ncafe stella to shinigami no chou (game cg),{{senren banka (game cg)}},riddle joker (game cg),amairo islenauts (game cg),{{{ask (askzy),kobuichi,muririn}}},game cg,
各种风格	柚子社画风简化版	\namairo islenauts (game cg),{{{ask (askzy),kobuichi,muririn}}},
各种风格	型月武内风格	\n{artist:koyama hirokazu},{artist:besmiled},{{artist:longdq3008}},{artist:takeuchi takashi},
各种风格	地狱把妹王画风	\n{{official art}},{{helltaker(copyright)}},{{artist: vanripper}},year 2024,
各种风格	手绘化	\ngraphite (medium),{{monochrome}},paper,art tools in frame,character name,pencil,traditional media,
各种风格	写实	\nclose-up,{{realistic oil painting}},
各种风格	其他版本1	\nhighres realistic,-3::multiple view,zoom layer::,realistic,stunning composition,3.5::photorealistic,photo background,background dataset,realistic background,::-5::simple background::,1.5::oil painting (medium),watercolor (medium)::,
各种风格	神奈川冲浪里，海浪背景	\n《the great wave off kanagawa》
各种风格	彩墨背景	\ncolorful,pop style,realistic,flat color,close shot,from side,paint splatter on face,arrogant,demented,\n3d建模1\n[render,c4d,photo-referenced,[wlop],{{{{nendoroid}}}},handmade,3d,\n3d建模2（疑似无效，仅作保留）\n3d,{{{artist:custom udon}}},
各种风格	我的世界画风	\n{{{{{{{{{pixel art}}}}}}}}},{{{{{minecraft}}}}},year 2024,{artist:wanke,onineko},[wlop],[ningen mame],akakura,ciloranko,
各种风格	单色风格	\nblack background,purple background,two-tone background,close-up,eyelashes,hair slicked back,looking at viewer,monochrome,multicolored hair,open mouth,partially shaded face,portrait,sidelighting,spot color,
各种风格	日式蒸汽波风格	\nupper body,anime cel-shaded style,retro CRT screen reflections on glasses,vaporwave color scheme,pink-and-teal gradient background,chromatic aberration effect,film grain texture,subtle RGB shift,anime-style rim lighting,translucent skin with subsurface scattering,detailed eyelash rendering,holographic star particles,1980s anime poster aesthetic,soft focus foreground,textured brush strokes,glowing liquid eyeliner,mismatched hair accessories,micro-detailed iris patterns,ambient neon signage glow,synthetic fabric sheen,cinematic depth blur,analog VHS tape artifacts,nostalgic cityscape silhouette,
各种风格	原版自带外貌部分	\nfaded denim jacket collar visible,pearl earrings,off-shoulder lace blouse,glowing neon choker,iridescent makeup highlights,soft blush cheeks,wavy pastel hair with cyan highlights,sparkling gradient eyes,
各种风格	疑似浅色风格（看画风生效）	\n{{limited palette}},{animation paper,color trace},{colored},retro artstyle,
单机角色	玛德琳	\n1girl,down jacket,blue jacket,long hair,full body,ahoge,long hair,orange hair,black eyes,brown trousers,
单机角色	坏德琳	\n1girl,tall,down jacket,dark purple jacket,dark purple hair,red eyes,black trousers,long hair,full body,pale skin,ahoge,
单机角色	魔裁橘雪莉	\nlight blue hair,yellow eyes,1girl,black bag,black capelet,black hat,black pantyhose,black shoes,beret,blue necktie,blue skirt,deerstalker,detective,frilled skirt,frills,braided hair rings,hand up,holding magnifying glass,long sleeves,looking at viewer,magnifying glass,miniskirt,leg lift,cowboy shot,short sock,necktie,open mouth,white\nsock,plaid clothes,plaid skirt,pleated skirt,single leg pantyhose,smile,standing on one leg,white bow,bare leg,
单机角色	魔裁二阶堂希罗	\nhair flower,hair ribbon,1girl,black jacket,crossed arms,red armband,red necktie,white gloves,white shirt,red theme,red flower,black hair,long hair,red eyes,\nblacksouls2尸龙贾巴沃克\n1.9::streetwear,cool aesthetic,no headwear,1.8::extreme crop top,black tank top,tight-fitting,1.7::denim hot pants,ultra-short shorts,frayed hem,ripped denim,low-rise,1.6::industrial leather belt,metallic waist chains,silver carabiners,thigh holsters,\nchar1：girl,stitches,stitched arm,thighhighs,black panties,panties,underwear,navel,stitched face,smile,closed mouth,glowing eye,zombie,undead,cropped legs,looking at viewer,bright pupils,hood up,hands up,blue fire,brown thighhighs,white pupils,monster girl,sarashi,holding,flaming eye,bandages,hood,bone,highleg panties,highleg,fire,torn wings,underboob,budget sarashi,white skin,purple theme,
单机角色	幽灵姬	\nprincess king boo,boo (mario),mario (series),{shiny skin},close-up,sharp teeth,blush,embarrassed,ghost,hugging object,
单机角色	杀戮尖塔静默猎手	\n{bandaged arm},{{dark skin}},{{nude}},green cape,nake cape,budget sarashi,long hair,grey eyes,{{sheep skull mask,mask on head}},white hair,bandaged foot,holding knife,\nmc苦力怕和猫杂交后\n{creeper (minecraft)},looking at viewer,{{partially unzipped}},medium breasts,cat ears,blue eyes,
单机角色	末影人娘	\nenderman (minecraft),naked bodystocking,
单机角色	米塔	\nred choker,red shirt,red hairband,red thighhighs,blue skirt,long hair,blue eyes,dark blue hair,
单机角色	病娇米塔	\nlooking at viewer,smile,long sleeves,sitting,ass,pleated skirt,hairclip,striped,indoors,miniskirt,black footwear,white panties,grin,blue skirt,blood,pantyshot,scrunchie,bottle,knife,red shirt,index finger raised,red jacket,finger to mouth,hair scrunchie,reflection,blood on face,mirror,tiles,glass,holding knife,red thighhighs,blood on clothes,bathroom,blood splatter,blood on hands,tile wall,red scrunchie,blood on weapon,broken glass,sink,faucet,different reflection,blood on knife,
单机角色	尼尔2b	\n2b (nier:automata),1girl,black blindfold,black hairband,boots,covered eyes,hairband,legs,leotard,mole,mole under mouth,plump,short hair,thick thighs,thigh boots,thighs,white hair,white leotard,
单机角色	黑魂骑士	\nthe lord of rings,offical art,[artist:kedama milk],[artist:wlop],artist:ke-ta,[artist:ciloranko],[artist:as109],year 2024,oil-painting,detailed face,commercial light and shadow,oil-painting,1 man,black hooded cape,no face,{{from below},ghost,{{holding a long spear}},glowing red flaming eyes,{riding a black armor skeleton fire horse},close-up,no feet,ruin background,wardamage,epic,movie tonal,cinematic shot,blowing wind,dynamic hair,dynamic perspective,dynamic angle focus,pose variation,cinematic lighting,
单机角色	饥荒温蒂	\nwendy (don’t starve),girl with a blonde braid ,empty eyes,loli,whit solid circle pupils,expressionless,{no pupils},{only one red rose on hair},
单机角色	多娜多娜女主	\n[[{{porno (dohna dohna)}}]],flat chest,pink eyes,revealing clothes,asymmetrical legwear,multiple straps,short hair,pink hair,bondage outfit,navel,loli,multicolored hair,black gloves,white hair,eyepatch,two-tone hair,mismatched legwear,padlock,parted lips,red lips,
单机角色	恐怖美术馆ib	\nbrown hair,hime cut,red eyes,long hair,white shirt,red skirt,pleated skirt,black thighhighs,hair flower,soles on feet,looking at viewer,red rose,rose petals,foot focus,blush,on bed,sitting,pillow,bed,foreshortening,holding flower,indoors,covered mouth,red neckerchief,
单机角色	爱上火车86	\nlong black hair,happy,loli,red,solo,ibara dance,reach out,{{{{{light}}} brown pantyhose}},{{{flesh-colored} pantyhose}},{{{skin-colored} pantyhose}},frilled sleeves,frilled skirt,white gloves,frills,high-waist skirt,open jacket,white ascot,
单机角色	希尔薇	\nsylvie (dorei to no seikatsu),artist:ray-k,convenient censoring,flat chest,nude,upper body,headpat,close-up,
网络角色	孤辰解构原典娘	\ngrey feather,white bow,black eyes,closed mouth,hat bow,grey hair,messy hair,long hair,{{{top hat}}},a black leg ring,black sash,grey doodle,medium skirt,white theme,cold face,looking at viewer,long hair,wavy hair,bare shoulder,cold expression,grey lolita dress,grey skirt,cute face,black fingerless gloves,white background,full body,nsfw,nipples,pussy,lifted by self,condom in mouth,blush,
网络角色	雪狼破军	\nankle boots,bag,belt,black boots,black skirt,blue jacket,blue sky,blue vest,blurry background,blurry foreground,blush,building,city,closed mouth,collared shirt,cross-laced footwear,crossed arms,depth of field,dirty,dirty clothes,dress shirt,ears through headwear,grey eyes,grey hair,hair between eyes,hair over shoulder,hardhat,helmet,lace-up boots,long hair,long sleeves,looking at viewer,medium breasts,miniskirt,outdoors,pencil skirt,pleated skirt,rabbit ears,rabbit girl,railing,school hat,shadow,side braid,single braid,sky,smile,standing,thighhighs under boots,twin braids,uniform,white hair,white shirt,white thighhighs,wing collar,yellow headwear,zettai ryouiki,
网络角色	缺神/jk秦喵喵	\nwhite hair,{{dog girl}},dog ears,red eyes,short hair,red scarf,navel,katana,school uniform,white neckerchief,white thighhighs,hairclip,white sailor,
网络角色	东雪莲	\ngrey eyes,dark blue flower,hair flower,silver hair,medium hair,short twintails,two side up,wavy hair,hair bow,cross earrings,striped bowtie,striped ribbon,{{{{vertical-striped thighhighs,grey and black thighhighs}}}},garter belt,vertical-striped clothes,short sleeves,white dress,sailor dress,layered skirt,{{fingerless gloves,elbow gloves,vertical-striped gloves,hand warmer}},white boots,
网络角色	醒爷	\nblack thighhighs,black hair,cat tail,cat ears,:3,white shirt,red eyes,bottomless,bangs,short sleeves,bright pupils,no shoes,
网络角色	埃及猫	\nankha (animal crossing),chibi,chibi inset,dark-skinned female,cat girl,striped tail,fang,black eyes,black hair,short hair,bob cut,large breasts,cleavage,clothes writing,t-shirt,white shirt,see-through,short sleeves,jewelry,bracelet,necklace,garter straps,thighhighs,no panties,arms behind head,nipples,saliva,egyptian,stretching,one eye closed,open mouth,yawning,see-through silhouette,\nbad apple!!!\nhakurei reimu,{{{{{black silhouette}}}}},1girl,solo,loli,white background,holding apple,{upper body},from side,
网络角色	妹子帝皇	\ndark skin,forehead,asian,{{{{{white business suit}}}}},light blush,open clothes,no shirt,white marble glowing skin,oversized clothes,suit pants,white pants,belt,white high heels,laurel crown,
网络角色	赛车初音	\n{racing miku (2022)},black bodysuit,covered navel,single leg bodysuit,single thigh boot,white jacket,
网络角色	像神一样啊初音（V曲PV）	\nevil smile,half closed eyes,red halo,nun,upper body,looking at viewer,holding cigarette,tongue out,tongue piercing,bandaid on face,bandages,smile,fingernails,ring,habit,spot color,smoke,smoking,{{{{{{monochrome,greyscale}}}}}},open mouth,
网络角色	视奸（V曲PV）	\naqua super yandere,smile,blush,shadow on face,black jacket,black skirt,brown sweater,collared shirt,eyepatch,fisheye,freckles,hand up,heart,heart-shaped pupils,holding phone,leaning forward,long sleeves,open jacket,open mouth,pleated skirt,pov peephole,smartphone,star (symbol),
网络角色	持葱战斗的miku	\n{hatsune miku},{{battoujutsu stance,ready to draw}},{{{holding spring onion,spring onion}}},serious expression,1girl,solo,dynamic angle,dutch angle,{{foreshortening,perspective,fisheye lens}},simple background,full body,squatting,on one knee,broken rock,steam,glowing eyes,
网络角色	原画风	\n【[artist:cogecha],{{artist:ciloranko}},artist:rella,[ask (askzy)],mignon,artist: kawacy,artist: minaba hideo,[artist:pigeon666]】
端游角色	星引擎太刀侠初始皮肤	\nred eyes,white hair,{{small horns,oni horns,white horn}},hair between eyes,long hair,pointy ears,medium breasts,katana,black skirt,black kimono,detached sleeves,bare shoulders,holding sword,pleated skirt,black thighhighs,long sleeves,sheath,closed mouth,miniskirt,zettai ryouiki,single hair bun,black hairband,green bow,red bow,large bow,hair bow,red obi,cloud print,
端游角色	星引擎太刀侠女仆皮肤	\nred eyes,white hair,{{small horns,oni horns,white horn}},hair between eyes,long hair,pointy ears,medium breasts,black dress,black ribbon,center frills,closed mouth,collar,enmaided,frilled dress,frills,light blush,short sleeves,maid,maid headdress,multicolored dress,solo,white dress,holding katana,cleavage,frilled choker,belt,bare legs,collarbone,wrist cuffs,close-up,white socks,expressionless,
端游角色	星引擎太刀侠契约泳装皮肤	\nred eyes,white hair,{{small horns,oni horns,white horn}},hair between eyes,long hair,pointy ears,medium breasts,{{{{hair ring}}}},white swimsuit,blue sailor collar,school swimsuit,yellow neckerchief,white thighhighs,sleeveless,holding katana,swimsuit only,no shoes,
端游角色	星引擎史莱姆宝箱怪皮肤	\n{{star-shaped pupils,liquid hair,light green hair}},green eyes,close-up,{{{{mimic,in container}}}},treasure chest,treasure box,mini crown,king crown,navel,tentacle hair,necklace,standing,looking at viewer,full-face blush,{{consensual tentacles}},nude,convenient censoring,breasts apart,blush,wet,looking at viewer,close-up,claw pose,upper body,smile,navel,large breasts,ahoge,
端游角色	星引擎旗袍初始皮肤	\n1girl,solo,bike shorts,ahoge,brown hair,blunt bangs,china dress,short dress,two-tone dress,bare shoulders,gold ring hair ornament,ring hair ornament,ring hair ornament connect hair tie,red hair tie,long hair tie,hair buns,double bun,bun with braided base,red china dress,hime cut,red eyes,spiked bracelet,short hair,small breasts,elbow gloves,fingerless gloves,black capelet,boots,gold bracelet,
端游角色	星引擎旗袍契约皮肤	\ndouble bun,brown hair,red eyes,medium breasts,{{black sunglasses}},half gloves,black coat,fur-trimmed coat,coat on shoulders,ahoge,red dress,china dress,gold pattern,thigh strap,black pantyhose,short dress,sleeveless,cleavage cutout,fighting stance,white fur,grin,holding gun,dual wielding,jade (gemstone),green bracelet,bullet,
端游角色	星引擎蓝海晴契约皮肤	\nskyblue hair,{{braiding hair,single braid,low-braided long hair}},huge breasts,pink eyes,dark blue hat,witch hat,{{evening gown,long dress}},{{whale hair ornament}},black gloves,close-up,sleeveless,criss-cross halter,black feather boa,pink lining,bare legs,side slit,star-shaped pupils,blue pupils,holding card,blue brooch,half-closed eyes,cleavage,parted lips,
端游角色	星引擎侦探契约皮肤	\nblonde hair,side ponytail,{{half-tied hair,long hair}},blue eyes,small breasts,ahoge,close-up,from above,hairclip,hair ribbon,blue jacket,white shirt,pink skirt,plaid skirt,red bowtie,loose socks,white footwear,blue nail,shoulder bag,open mouth,smile,open jacket,black-framed eyewear,holding phone,red ribbon,pink phone,one eye closed,
端游角色	星引擎忍者契约皮肤	\npink hair,blue eyes,short hair,ponytail,small breasts,dark blue scarf,{{{eye print}}},print on scarf,black-framed eyewear,{{brown hat}},animal hat,bear ear,newsboy cap,brown coat,black gloves,sleeves past wrists,brown kneehighs,plaid legwear,brown dress,raccoon tail,falling leaves,
端游角色	星引擎忍者直购皮肤	\npink hair,blue eyes,short hair,ponytail,small breasts,black bow,hair bow,large bow,dark blue scarf,{{{eye print}}},print on scarf,red neckscarf,white sailor collar,black shirt,short sleeves,midriff,black skirt,black pantyhose,bare arms,
