	一些前言	\nPS1：请于【】处添加角色与画风的tag描述；若无，请直接添加于tag组前\nPS2：请注意，本法典早期大部分tag以Nai3模型为基础测试整理，目前已转为Nai4.5测试。理论Nai系列与其他AI模型如Noob等模型通用。（其他模型应用请自行转换权重）\nPS3：标有字底颜色为此次更新增添的tag，字号较小的为附注内容\nPS4：若分类中的tag寻找不到，请活用WPS或其他软件自带的CTRL+F快捷键进行快速检索\nPS5：本法典一般于每月下旬或特殊日期（生日、节日等）更新，且保持月更，可据此判断本所长法典是否为最新版本。\nPS6：本法典为无偿免费分享，由一般所长整理编纂，tag多来源于解构原典群与其他群群友，在此对tag提供者提出感谢。\nPS7:若对法典收集tag存在疑问或者错误反馈，可以通过QQ：2319231932或2213681558（小号）联系一般所长，添加好友时请备注缘由。\nPS8：此外，于此特别感谢御堂/神宫寺、KKO、泡面、七号、别里磕夫这几位群友在tag整理上的协助支持，帮我解决了很多费时费力的基础工作，再次感谢\nPS9：当各位看到这一条的时候，证明所长法典今日（2025.12.29）已经两岁啦！再次感谢在编辑法典中提供助力的各位，提供Tag的各位，以及谋面或者素未谋面的使用这本法典的各位！希望我们还能在法典三岁见面！
正身位	第一人称传教士体位玩游戏同时被抓脚足交预备插入	\n1girl,1boy,muscular male,nude male,white t-shirt,short sleeves,oversized shirt,no collar,off shoulder,bare shoulder,shirt lifted,navel,no bra,no panties,see-through,white thighhighs,girl lying,on back,legs spread,pussy,vaginal,pink labia,clitoris,ass,buttocks,{{{girl holding nintendo switch,handheld game console,hands on nintendo switch}}},girl looking down,expressionless,nose blush,sweatdrop,closed mouth,male kneeling,pov,pov crotch,pov hands,veiny penis,large penis,precum,male grabbing another’s legs,feet squeezing together,{penis between feet,footjob},motion lines,on bed,from above,
正身位	第一人称暗房中揉胸传教士位	\ndark theme,night city,love hotel,spoken hearts,pink hearts,cowboy shot,1girl,1boy,grabbing another’s breasts,breast pull,heart-shaped pupils,fucked silly,rolling eyes up,the expression of orgasm,tongue out,breasts out,ruddy areola,long breasts,sagging breasts,cum in pussy,cum on breasts,huge areola,pov,heart,hetero,lying,male pubic hair,missionary,navel,nipples,nude,on back,on bed,parted lips,penis,sex,motion line,steaming body,stomach,vaginal,
正身位	第一人称抓住手腕传教士位	\n1girl,1boy,arm grab,{assisted rape},blush,nude,from above,held down,holding another’s wrist,looking at viewer,navel,{{uncensored}},nipples,open mouth,penis,pov,pov crotch,pov hands,pussy,rape,restrained,sex,solo focus,spread legs,tears,vaginal,
正身位	侧视拦腰抱起传教士体位	\nsex,nose blush,crying,streaming tears,open mouth,tongue out,saliva trail,on back,{{{{{{arched back,head back}}}}}},arm support,spread legs,nude,nipples,{{trembling}},heart,from side,{{sex}},{{{{torso grab}}}},{{motion lines,motion blur}},indoors,on bed,living room,curtains,\nchar1：lying,spread legs,dress lift,pussy,boring,expressionless,\nchar2：boy,huge penis,very strong man,
正身位	正位自抱腿肛交	\nblush,tears,looking at viewer,{{naked man,large penis,anal sex,penis in anus,anal penis insertion}},nude,pussy,pussy juice,anus,excessive pubic hair,sweat,steaming body,{{{red marks on ass,ass smack,bouncing ass}}},{{{hugging own legs,legs up}}},
正身位	压腿正面性爱	\n1girl,1boy,sex,piledriver (sex),hands on another’s thighs,upside-down,cum,cum in pussy,facial,bukkake,cum on body,cum on breasts,cum on hair,cum on eyewear,cum on hands,cum overflow,excessive cum,hetero,nipples,penis,vaginal,open mouth,blush,lying,solo focus,on back,pussy,spread legs,tongue out,navel,sweat,collarbone,nude,saliva,fucked silly,
正身位	压腿爆炒精液溢出滴到脸上	\n1boy,1girl,facial,hetero,nude,lying on back,nipples,pussy,vaginal,clitoris,veiny penis,cum drip,overflowing,cum in mouth,after vaginal,cum in pussy,rough sex,top-down bottom-up,blush,rolling eyes,crying with eyes open,tearing,ahegao,trembling,on bed,bed sheet,motion lines,steaming body,{{{{speech bubble,sound effect}}}},
正身位	床上抱腿姿势	\nfrom aside,1boy,1girl,cum in pussy,grabbing another’s breast,leg lift,nude,sex,from behind,lying on bed,{trembling,sweat,motion lines},
站立位	墙后捂嘴站立位后入中出	\n1girl,2boys,sex,outdoor,2::netorare,stealth,stealth sex::,standing sex,hand over another’s mouth,clothed sex,motion lines,japanese sound effect,underboob,panty pull,skirt pull,groin,large penis,x-ray,cum,cum overflow,cumdrip,gropping,wide shot,straight-on,\nchar1：girl,visor cap,crop top,red skirt,blush,surprised,constricted pupils,\nchar2：boy,faceless male,brown-skinned muscular man,clothed male,pants pull,underboob,panty pull,skirt pull,groin,\nchar3：boy,portrait,
站立位	中出之后	\n1girl,2boys,sex,outdoor,2::netorare,stealth,stealth sex::,standing sex,torso grab,japanese sound effect,cum overflow,cumdrip,wide shot,sex from behind,sweat,straight-on,after sex,straight-on,\nchar1：girl,visor cap,crop top,red skirt,blush,spread legs,underboob,panty pull,skirt pull,groin,after orgasm,after sex,2::no eyes,facing away,faceless female,open mouth,\nchar2：boy,faceless male,brown-skinned muscular man,clothed male,pants pull,orgasm,\nchar3：boy,portrait,
站立位	站立位侵犯时试图用脚蹬开	\n1girl,shiny skin,blush,3::sound effect::,japanese text,1.5::indoors,\nchar1：girl,no shoes,1.3::fully clothed,skirt rolled up::,1.5::glaring,tsundere,tears,looking up,face-to-face::,3::a woman standing firmly on left leg while raising her right leg to push the man’s right chest with her entire foot sole::2.5::bent at a 90 degree angle::,the kicking leg is the main source of power,using full body weight and leg strength::,2::fierce expression,gripping the office desk edge tightly with both hands for leverage and balance,her hands are locked on the desk,not touching the man::,1.2::detailed interaction at the point of contact,her sole is pressed flat against his shirt,fabric compression,visible pressure,the man’s shirt is buckling under the weight of her foot::,1.2::dynamic office background,chaos,papers on the floor,intense struggle scene,action movie style::,1.5::cinematic lighting focusing on the point of impact and the physical struggle,detailed leather textures and skin under pressure,realistic anatomy::,breasts out,nipples,open clothes,motion lines,trembling,cum,ejaculation,\nchar2：boy,faceless male,standing,torso grab,grabbing upper body,2.2::rape,sex,penis::,deep penetration,penis deep inside vagina,full depth,1.2::solid and immovable presence,taking the full impact of the push from her foot sole on his midsection,his core is braced and solid like a tree,scowling expression,his legs are planted wide and firmly to bear the force::,
站立位	第一人称后入抬头	\n1girl,1boy,three quarter view,pov,nsfw,from above,head tilt,{foreshortening},{{{{head back,standing,close to viewer}}}},{{arched back,sex form behind}},hand on anothers cheek,looking at viewer,back,uncensored,
站立位	侧视压腿过头正面站立位	\nfrom side,1girl,1boy,solo focus,standing,leg up,spread legs,sex,pussy,leg over head,cum,against wall,looking at another,
站立位	立绘与泳装性爱分镜	\nthin lines,rough lines,jaggy lines,instant loss,japanese text,speech bubble,comic,\nchar1：girl,hetero,nsfw,curvy,clothed female,outdoors,beach,lower body,in ocean,messy hair,sweat drop,dutch angle,dynamic angle,sex,press breasts,nipple slip,legs up,suspended congress,kiss,arms around neck,\nchar2：boy,1.5:: muscular slim male::,nude male,sex,thighs grab,kiss,\nchar3：girl,outdoors,solo,3::sfw:: instant loss,portrait,greeting,
站立位	侧视自抱身浮空站立位	\n{{{{1boy,1girl,hetero}}}},from side,height difference,nsfw,\nchar1：girl,blush,ahegao,arms around back,leg lock,sex,\nchar2：boy,huge penis,{{{{upper body}}}},head out,head out of frame,evil smile,standing,hands on own hips,
站立位	其他版本1	\n{{{{1boy,1girl,hetero}}}},from side,height difference,nsfw,indoor,love hotel,1.2::pussy juice::,1.3::pussy juice trail::,pussy juice stain,wet,1.2::wide-eyed::,dashed eyes,1.2::tears::,blush,1.2::flustered::,1.2::open mouth::,tongue out,1.2::saliva::,1.2::head tilt::,1.3::^^^::,1.3::trembling::,1.3::twitching::,2::suggestive fluid ::,1.5::pussy juice splash::,1.5::mucus::,1.1::wet floor::,\nchar1：girl,blush,ahegao,arms around back,leg lock,sex,hugging,\nchar2：boy,huge penis,{{{{upper body}}}},head out,head out of frame,evil smile,standing,hands on own hips,
站立位	完全被大几把钉在空中正身站立位（不稳定）	\nnsfw,1boy,1girl,from side,full body,standing,completely nude,indoor,wooden floor,room,table,pitcher,sex,hetero,standing sex,-2::multiple views::,\nchar1：girl,draped over person,hanging,hanging arms,reverse upright straddle,stomach bulge,upside down,arched back,embarrass,light blush,\nchar2：boy,muscular male,drinking,holding mug, hand on own hip,standing,
站立位	第一人称接电话面对站位	\nfront view,straight-on,1girl,1boy,pov,nipples,penis,hetero,sex,vaginal,blush,completely nude,pussy,standing,from above,foreshortening,against wall,dark background,hip grab,talking on phone,smartphone,\nchar1：girl,（请输入角色）\nchar2：girl,spoken character,speech bubble,head only,cropped,
站立位	女仆拖地时拖把支撑站立位后入	\n1girl,maid headdress,maid dress,frilled,collar,black bowtie,long sleeves,juliet sleeves,maid apron,white bow sash,white corset,long dress,dress lifted,no panties,black thighhighs,garter belt,laced thighhighs,skindentation,girl standing,leaning forward,girl hands on mop,holding mop,mop to chest,bent over,girl tremble,motion lines,pussy juice drip,pussy juice trail to penis,sweat,heavy breath,steam,body blush,metal bucket laid on wooden floors,1male,suited male,male standing sex,sex from behind,trousers down,male hands on another’s ass,deep penetration,{x-ray,large penis,cervix,uterus,vaginal,speed lines,speed blur,excessive pussy juice,wet penis,lube on penis},indoors,window,curtains,living room,pottsness,day,from side,hetero,nsfw,uncensored,girl knees bent,girl knees together feet apart,black high heels,pussy juice puddle,girl head down,falling hair,open mouth,saliva trail,full face blush,
站立位	窄道墙间面对面站立位	\nlooking at another,eye contact,1girl,1boy,faceless male,hands around another’s waist,from above,height difference,standing,sex,suspended congress,from side,foot against wall,hetero,completely nude,outstreched legs,legs up,blush,eye contact,size difference,white walls,squeezing walls,tight space,naked,against wall,ass press,pressed against wall,three quarter view,moaning,open mouth,from side,very tight space,clothes dropped on the floor.surrounded by walls,characters squuzed between walls,very tight gap between walls.feet on wall,hand on wall,from above,asses pressed against walls,well from left and right,surrounded by walls,very small space,
站立位	第一人称比v面对面站立位	\nfront view,straight-on,1girl,1boy,pov,nipples,penis,hetero,sex,vaginal,blush,clothes sex,open shirt,pussy,standing,from above,foreshortening,double v,hands up,against wall,leaning back,dark background,hip grab,v over eyes,
站立位	倒立站立位	\n1girl,solo,nsfw,\nchar1：girl,motion blur::,2::nude,complete nude,nipple::,1.5::target:do sex,target#do sex from front,target#lift legs::,penetration,2::opened eyes::,1.5::feet off ground,handstand::,1.5::heavy breathing,steaming body,sweating profusely::,\nchar2：boy,penis,nude,1.8::standing::,1.5::source:do sex,source#do sex from front,source#lift legs::,
站立位	正面站立背后位直播	\n1boy,1girl,battery indicator,black choker,black hair,blush,body writing,choker,collarbone,completely nude,dark-skinned male,dark skin,grabbing another’s breast,grabbing from behind,groin,groping,heart,large breasts,looking at viewer,navel,netorare,nipples,nude,recording,sex,sex from behind,solo focus,spoken heart,stomach,tally,thighs,viewfinder,
站立位	压在树上站立位	\n1boy,1girl,hetero,vaginal,standing sex,against tree,outdoorswald,tall muscular man,sweat,completely nude,legs held up,one leg lifted high,leg wrapped around man’s waist,legs locked around waist,deep penetration,rough sex,intense sex,ahegao,rolling eyes,drooling,saliva trail,tongue out,breast grab,groping,breast squeeze,breast overflowing from fingers,body fluids,french kiss,licking drool,motion lines,impact lines,heart-shaped pupils,pleasure face,sunlight through trees,forest background,dappled lighting,depth of field,cinematic lighting,
站立位	专心玩手机面对面站立位	\n1boy,1girl,arm support,blush,desk,emotionless sex,hetero,holding phone,leaning back,looking at phone,motion lines,navel,sex,nipples,nude,penis,pussy,skindentation,smartphone,speech bubble,speed lines,spoken ellipsis,standing,standing sex,stomach,sway back,
站立位	原版服装	\nno bra,long sleeves,bottomless,clothed female nude male,clothes lift,black thighhighs,blue sailor collar,sailor collar,sailor shirt,school uniform,serafuku,shirt,shirt lift,open shirt,stud earrings,
站立位	俯视背后站立位	\nfrom above,steam,hot,motion lines,speed lines,motion blur,sound effects,,foreshortening,solo focus,nude,stomach,standing sex,tiptoes,looking at another,looking back,saliva,blush,fucked silly,tears,stomach bulge,steaming body,heavy breathing,twitching,spasm,trembling,female ejaculation,female orgasm,heart,1boy,sex from behind,grabbing another’s arm,rough sex,size difference,head out of frame,
站立位	原版服装	\npuffy short sleeves,white collared shirt,lace-trimmed bra,clothes lift,panties around one leg,zettai ryouiki,
站立位	第一人称站立水下牵引插入	\nblurry background,day,{{sunlight,shaodw,backlighting}},{ocean,water},blue sky,cumulonimbus cloud,{{pov}},pov hand,pov crotch,{grabbing another’s breast,{{guided breast grab}}},{penis,pov penis,hetero} precum,erection,{{swimsuit aside,guided penetation,just the tip}},pussy,cleft of venus,smile,blush,half-closed eyes,shiny lips,{{{shiny skin}}},{sweat,wet,dripping},{{{light areola}}},sweat,{{wading,partially submerged,{{partially underwater shot}}}},wide shot,{{{ripple glare,reflective water}}},{{{backlighting,light on water,{{rippled sunlight reflections,ray tracing}}},ambient lighting,glowing water reflections}},{from above},thigh gap,dark-skinned female,dark skin,tan,one-piece tan,competition swimsuit,{{partially undressed,partially undressed swimsuit}},topless,breasts out,{from side},{{{feet out of frame}}},feet out of frame,1girl,solo,1boy,{{shiny hair,gradient eyes}},armpits,smile,closed mouth,standing,blush,{puffy nipples},
站立位	斗篷下站立位侵犯	\narched back,leaning back,sex,{1girl,1boy},2::under coat,under large cloak::,{{sex,leg lock}},from side,toe scrunch,ass ripple,clothed female nude male,stealth sex,hidden under clothes,no panties,sex,sweat,\nchar1：girl,loli,glasses,height difference,pussy,pussy juice,sex,blush,stomach bluge,cum in pussy,twitching,trembling,ahegao,\nchar2：boy,faceless male,1.5::,baldness,large cloak,clothes::,breasts grab,smile,huge penis,large,sex,1::deep penetraion,cum,
站立位	亲吻面对站位踩不到地	\n1girl,1boy,full body,1.5::hanging legs,height difference::,clothed female nude male,{{standing missionary,face-to-face}},motion lines,penis,pussy,grabbing another’s ass,arms around neck,kiss,sex,
站立位	倒立提腿站立位	\nchar1：girl,hanging,arms hanging,arms at sides,tremble,dirty body,shiny skin,straight arms,pussy,messy hair,tongue out,rolling eyes,cum in pussy,upside-down,spread legs,legs up,waving arms,straight leg,\nchar2：boy,dark-skinned male,sex,hands grabbing another’s ankle,standing,huge penis,hand up,full body,faceless male,
